# Rooftop PV data for 2010 calendar year
# Derived from original 1MW trace files at:
# http://www.climatechange.gov.au/reducing-carbon/aemo-report-100-renewable-electricity-scenarios
#
# Copyright (C) 2012 Australian Energy Market Operator Limited

# Region (based off capital city)
# QLD,NSW,VIC,SA,Tas

0.0184345978,0.0210943775,0.0138090056,0.003069068,0.0108090269
0.0940575489,0.091656549,0.068445428,0.0378826631,0.0741475438
0.2271298968,0.2428530556,0.1825819491,0.1519105864,0.2219992518
0.3361002599,0.3535168745,0.3137036213,0.3020429202,0.3631041799
0.3128374835,0.4506879396,0.4070555278,0.4264464833,0.5315198976
0.3460136984,0.5021593055,0.5477534618,0.5672957879,0.6391299711
0.4097315994,0.5328767049,0.5970400476,0.6531604542,0.6577109354
0.4774831262,0.521434122,0.6000048346,0.6886171611,0.6374833197
0.454809866,0.3542128012,0.6380270122,0.688414227,0.6658249038
0.3820018502,0.3869117266,0.6021547102,0.645770559,0.6329737402
0.3016072268,0.3333073269,0.4883303827,0.5495591795,0.5296510418
0.1774618639,0.2001592034,0.3370959523,0.4111316693,0.3790374035
0.074392731,0.0710583709,0.1590071945,0.2377800681,0.1994389579
0.0151080345,0.003588827,0.0152910426,0.060460659,0.041383765
0,0,0,0.0030097614,0.001861074
